category,subcategory,name,state
0,0,BAHIA DE LOS ANGELES,BAJA CALIFORNIA
0,1,BAHIA DE SAN LUIS GONZAGA,BAJA CALIFORNIA
0,2,ENSENADA,BAJA CALIFORNIA
0,3,ISLAS CORONADO,BAJA CALIFORNIA
0,4,LA BUFADORA,BAJA CALIFORNIA
0,5,ROSARITO,BAJA CALIFORNIA
0,6,SAN FELIPE,BAJA CALIFORNIA
0,7,BAHIA CONCEPCION,BAJA CALIFORNIA SUR
0,8,BAHIA DE LAS PALMAS,BAJA CALIFORNIA SUR
0,9,BAHIA DE LOS MUERTOS,BAJA CALIFORNIA SUR
0,10,BAHIA MAGDALENA,BAJA CALIFORNIA SUR
0,11,BUENAVISTA,BAJA CALIFORNIA SUR
0,12,CABO PULMO,BAJA CALIFORNIA SUR
0,13,CABO SAN LUCAS,BAJA CALIFORNIA SUR
0,14,CALETA SAN LUCAS,BAJA CALIFORNIA SUR
0,15,COSTA AZUL,BAJA CALIFORNIA SUR
0,16,EL ARCO,BAJA CALIFORNIA SUR
0,17,EL CHILENO,BAJA CALIFORNIA SUR
0,18,EL MEDANO,BAJA CALIFORNIA SUR
0,19,EL TECOLOTE,BAJA CALIFORNIA SUR
0,20,GUERRERO NEGRO,BAJA CALIFORNIA SUR
0,21,ISLA DEL ESPIRITU SANTO,BAJA CALIFORNIA SUR
0,22,JUNCALITO,BAJA CALIFORNIA SUR
0,23,LA PAZ,BAJA CALIFORNIA SUR
0,24,LA VENTANA,BAJA CALIFORNIA SUR
0,25,LORETO,BAJA CALIFORNIA SUR
0,26,LOS BARRILES,BAJA CALIFORNIA SUR
0,27,LOS CABOS,BAJA CALIFORNIA SUR
0,28,MALECON ALVARO OBREGON,BAJA CALIFORNIA SUR
0,29,NOPOLO,BAJA CALIFORNIA SUR
0,30,PICHILINGUE,BAJA CALIFORNIA SUR
0,31,PLAYA DEL AMOR,BAJA CALIFORNIA SUR
0,32,PLAYA DEL CAIMANCITO,BAJA CALIFORNIA SUR
0,33,PUERTO ADOLFO LOPEZ MATEOS,BAJA CALIFORNIA SUR
0,34,PUERTO BALANDRA,BAJA CALIFORNIA SUR
0,35,PUERTO SAN CARLOS,BAJA CALIFORNIA SUR
0,36,PUNTA CHIVATO,BAJA CALIFORNIA SUR
0,37,SAN JOSE DEL CABO,BAJA CALIFORNIA SUR
0,38,BAHAMITAS,CAMPECHE
0,39,BONITA,CAMPECHE
0,40,CARACOL,CAMPECHE
0,41,ISLA AGUADA,CAMPECHE
0,42,ISLA ARENA,CAMPECHE
0,43,ISLA DEL CARMEN,CAMPECHE
0,44,LERMA,CAMPECHE
0,45,MALECON DE LA PUNTILLA,CAMPECHE
0,46,MANIGUA,CAMPECHE
0,47,NORTE,CAMPECHE
0,48,PARAISO,CAMPECHE
0,49,PUNTA VARADERO,CAMPECHE
0,50,PUNTA XEN,CAMPECHE
0,51,SABANCUY,CAMPECHE
0,52,SEYBAPLAYA,CAMPECHE
0,53,SIHO PLAYA,CAMPECHE
0,54,BAHIA DE PAREDON,CHIAPAS
0,55,BAHIA SANTA BRIGIDA,CHIAPAS
0,56,BARRA DE SAN JOSE,CHIAPAS
0,57,BARRA SAN SIMON,CHIAPAS
0,58,BARRA ZACAPULCO,CHIAPAS
0,59,BOCA DEL CIELO,CHIAPAS
0,60,CENTRO ECOTURISTICO EL MADRESAL,CHIAPAS
0,61,CHOCOHUITAL,CHIAPAS
0,62,EL BALLENATO,CHIAPAS
0,63,LAGUNA POZUELOS,CHIAPAS
0,64,LA LUPE,CHIAPAS
0,65,PLAYA AZUL,CHIAPAS
0,66,PLAYA LINDA,CHIAPAS
0,67,PUERTO ARISTA,CHIAPAS
0,68,SAN CARLOS,CHIAPAS
0,69,BAHIAS DE MANZANILLO Y SANTIAGO,COLIMA
0,70,BOCA DE APIZA,COLIMA
0,71,BOCA DE PASCUALES,COLIMA
0,72,COLORADAS,COLIMA
0,73,CUYUTLAN,COLIMA
0,74,EL PARAISO,COLIMA
0,75,EL REAL,COLIMA
0,76,ISLA NAVIDAD,COLIMA
0,77,JULUAPAN,COLIMA
0,78,LAS BRISAS,COLIMA
0,79,LAS HADAS,COLIMA
0,80,LA AUDIENCIA,COLIMA
0,81,LA BOQUITA,COLIMA
0,82,MAJAHUA,COLIMA
0,83,MIRAMAR,COLIMA
0,84,OLAS ALTAS,COLIMA
0,85,PLAYA CAMPOS,COLIMA
0,86,PLAYA DE ORO,COLIMA
0,87,PLAYA VENTANAS,COLIMA
0,88,SALAGUA,COLIMA
0,89,SANTIAGO,COLIMA
0,90,SAN PEDRITO,COLIMA
0,91,TECUANILLO,COLIMA
0,92,BAHIA DE PETACALCO,GUERRERO
0,93,BARRA DE POTOSI,GUERRERO
0,94,BARRA VIEJA,GUERRERO
0,95,BONFIL,GUERRERO
0,96,CALETA Y CALETILLA,GUERRERO
0,97,CAYAQUITOS,GUERRERO
0,98,CUACHALALATE,GUERRERO
0,99,EL CARRIZAL,GUERRERO
0,100,HACIENDA DE CABAÑAS,GUERRERO
0,101,HORNOS Y HORNITOS,GUERRERO
0,102,ICACOS,GUERRERO
0,103,ISLA DE IXTAPA,GUERRERO
0,104,IXTAPA ZIHUATANEJO,GUERRERO
0,105,LAS GATAS,GUERRERO
0,106,LAS PEÑITAS,GUERRERO
0,107,LA ROPA,GUERRERO
0,108,LA ROQUETA,GUERRERO
0,109,LA SALADITA,GUERRERO
0,110,MAJAHUA,GUERRERO
0,111,MICHIGAN,GUERRERO
0,112,PICHILINGUE,GUERRERO
0,113,PIEDRA DE TLACOYUNQUE,GUERRERO
0,114,PIE DE LA CUESTA,GUERRERO
0,115,PLAYA BLANCA,GUERRERO
0,116,PLAYA CONDESA,GUERRERO
0,117,PLAYA CONTRAMAR,GUERRERO
0,118,PLAYA CORAL,GUERRERO
0,119,PLAYA EL PALMAR,GUERRERO
0,120,PLAYA LARGA,GUERRERO
0,121,PLAYA LA BARRITA,GUERRERO
0,122,PLAYA LA MADERA,GUERRERO
0,123,PLAYA LINDA,GUERRERO
0,124,PLAYA OJO DE AGUA,GUERRERO
0,125,PLAYA PARAISO,GUERRERO
0,126,PLAYA QUIETA,GUERRERO
0,127,PLAYA VARADERO,GUERRERO
0,128,PLAYA VENTURA,GUERRERO
0,129,PUERTO MARQUEZ,GUERRERO
0,130,PUERTO VICENTE GUERRERO,GUERRERO
0,131,PUNTA MALDONADO,GUERRERO
0,132,REVOLCADERO,GUERRERO
0,133,TAMARINDOS,GUERRERO
0,134,TRONCONES,GUERRERO
0,135,BAHIA DE BANDERAS,JALISCO
0,136,BAHIA DE CHAMELA,JALISCO
0,137,BAHIA DE TENACATITA,JALISCO
0,138,BARRA DE NAVIDAD,JALISCO
0,139,BOCA DE IGUANAS,JALISCO
0,140,BOCA DE TOMATES,JALISCO
0,141,BOCA DE TOMATLAN,JALISCO
0,142,CABO CORRIENTES,JALISCO
0,143,CAREYES,JALISCO
0,144,CHALACATEPEC,JALISCO
0,145,CORRALES,JALISCO
0,146,COSTALEGRE,JALISCO
0,147,CRUZ DE HUANACAXTLE,JALISCO
0,148,EL SALADO,JALISCO
0,149,EL TECUAN,JALISCO
0,150,LAS ANIMAS,JALISCO
0,151,LAS GLORIAS,JALISCO
